Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes
D253,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.9,"Liquid Tank",Fungicide,32,34,10.5,OP003,2025-06-15,40,3.4,7.8,Yes,Completed,REG-2025-KLM-345,
D254,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Visual",105,40,13.2,OP002,2025-06-16,64,2.3,5.5,Yes,Completed,REG-2025-NOP-678,
D255,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Electronics",70,18,6.1,OP011,2025-06-17,93,1.5,2.9,No,Completed,REG-2025-QRS-901,
D256,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",87,19,5.7,OP004,2025-06-18,95,1.2,2.3,No,Completed,REG-2025-TUV-234,
D257,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Insecticide,28,32,9.5,OP003,2025-06-19,42,3.2,7.7,Yes,Completed,REG-2025-WXY-567,
D258,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Temperature",109,42,12.8,OP002,2025-06-20,70,2.4,5.2,Yes,Completed,REG-2025-ZAB-890,
D259,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.8,Package,"Small items",69,25,7.5,OP015,2025-06-21,88,1.9,3.3,No,Completed,REG-2025-CDE-123,
D260,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Telephoto",83,21,6.2,OP007,2025-06-22,96,1.3,2.4,No,Completed,REG-2025-FGH-456,
D261,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Herbicide,33,31,10.2,OP003,2025-06-23,45,3.1,7.4,Yes,Completed,REG-2025-IJK-789,
D262,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.2,Camera,"Infrared",106,38,13.1,OP002,2025-06-24,63,2.2,5.4,Yes,Completed,REG-2025-LMN-012,
D263,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Documents",71,17,5.9,OP011,2025-06-25,92,1.6,2.7,No,Completed,REG-2025-OPQ-345,
D264,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard",86,20,5.8,OP004,2025-06-26,94,1.1,2.1,No,Completed,REG-2025-RST-678,
D265,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Fungicide,27,35,9.9,OP003,2025-06-27,44,3.5,7.8,Yes,Completed,REG-2025-UVW-901,
D266,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Pressure",110,41,12.5,OP002,2025-06-28,68,2.3,5.1,Yes,Completed,REG-2025-XYZ-234,
D267,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Consumer goods",67,22,7.3,OP015,2025-06-29,87,1.7,3.2,No,Completed,REG-2025-ABC-567,
D268,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Zoom lens",84,19,5.2,OP007,2025-06-30,95,1.2,2.3,No,Completed,REG-2025-DEF-890,
D269,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.5,"Liquid Tank",Insecticide,30,32,10.8,OP003,2025-07-01,42,3.3,7.5,Yes,Completed,REG-2025-GHI-123,
D270,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"High-res",103,39,13.8,OP002,2025-07-02,65,2.4,5.6,Yes,Completed,REG-2025-JKL-456,
D271,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Small package",73,16,6.5,OP011,2025-07-03,90,1.4,2.9,No,Completed,REG-2025-MNO-789,
D272,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Wide angle",89,20,5.8,OP004,2025-07-04,93,1.1,2.1,No,Completed,REG-2025-OPQ-012,
D273,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank",Herbicide,34,34,10.1,OP003,2025-07-05,47,3.1,7.2,Yes,Completed,REG-2025-RST-345,
D274,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Vibration",107,40,12.5,OP002,2025-07-06,68,2.2,5.3,Yes,Completed,REG-2025-UVW-678,
D275,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Fragile goods",71,25,7.2,OP015,2025-07-07,86,1.8,3.5,No,Completed,REG-2025-XYZ-901,
D276,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Telephoto",81,17,5.3,OP007,2025-07-08,98,1.3,2.4,No,Completed,REG-2025-ABC-234,
D277,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Fungicide,26,32,9.2,OP003,2025-07-09,41,3.4,7.7,Yes,Completed,REG-2025-DEF-567,
D278,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.3,Camera,"Zoom",104,42,13.9,OP002,2025-07-10,62,2.5,5.7,Yes,Completed,REG-2025-GHI-890,
D279,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Gift",70,19,6.1,OP011,2025-07-11,94,1.5,2.8,No,Completed,REG-2025-JKL-123,
D280,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",87,20,5.7,OP004,2025-07-12,95,1.1,2.2,No,Completed,REG-2025-MNO-456,
D281,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.6,"Liquid Tank",Insecticide,33,33,10.5,OP003,2025-07-13,46,3.3,7.3,Yes,Completed,REG-2025-OPQ-789,
D282,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",109,38,12.2,OP002,2025-07-14,69,2.1,5.4,Yes,Completed,REG-2025-RST-012,
D283,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Electronics",66,23,7.5,OP015,2025-07-15,89,1.7,3.1,No,Completed,REG-2025-UVW-345,
D284,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide lens",82,18,5.9,OP007,2025-07-16,97,1.2,2.5,No,Completed,REG-2025-XYZ-678,
D285,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Herbicide,28,35,9.8,OP003,2025-07-17,43,3.5,7.6,Yes,Completed,REG-2025-ABC-901,
D286,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",103,41,13.1,OP002,2025-07-18,64,2.4,5.2,Yes,Completed,REG-2025-DEF-234,
D287,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Clothing",73,19,6.1,OP011,2025-07-19,92,1.4,2.7,No,Completed,REG-2025-GHI-567,
D288,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.5,OP004,2025-07-20,96,1.3,2.3,No,Completed,REG-2025-JKL-890,
D289,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Fungicide,31,33,9.5,OP003,2025-07-21,40,3.3,7.9,Yes,Completed,REG-2025-MNO-123,
D290,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Gas",106,39,12.8,OP002,2025-07-22,67,2.2,5.5,Yes,Completed,REG-2025-OPQ-456,
D291,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.2,Package,"Documents",69,24,7.9,OP015,2025-07-23,87,1.8,3.4,No,Completed,REG-2025-RST-789,
D292,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"ND filter",88,17,5.2,OP007,2025-07-24,99,1.1,2.1,No,Completed,REG-2025-UVW-012,
D293,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Insecticide,34,34,10.2,OP003,2025-07-25,45,3.4,7.7,Yes,Completed,REG-2025-XYZ-345,
D294,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Visual",104,40,13.5,OP002,2025-07-26,63,2.3,5.1,Yes,Completed,REG-2025-ABC-678,
D295,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Electronics",71,18,6.3,OP011,2025-07-27,90,1.5,2.8,No,Completed,REG-2025-DEF-901,
D296,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",83,19,5.6,OP004,2025-07-28,93,1.2,2.4,No,Completed,REG-2025-GHI-234,
D297,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Herbicide,29,32,9.9,OP003,2025-07-29,44,3.2,7.5,Yes,Completed,REG-2025-JKL-567,
D298,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Temperature",107,42,12.8,OP002,2025-07-30,66,2.4,5.3,Yes,Completed,REG-2025-MNO-890,
D299,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.4,Package,"Small items",72,25,7.1,OP015,2025-07-31,86,1.9,3.2,No,Completed,REG-2025-OPQ-123,
D300,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",89,21,6.5,OP007,2025-08-01,97,1.3,2.5,No,Completed,REG-2025-RST-456,
D301,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.2,"Liquid Tank",Fungicide,32,31,10.5,OP003,2025-08-02,41,3.1,7.4,Yes,Completed,REG-2025-UVW-789,
D302,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Infrared",104,38,13.2,OP002,2025-08-03,69,2.2,5.1,Yes,Completed,REG-2025-XYZ-012,
D303,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Documents",70,17,5.8,OP011,2025-08-04,93,1.6,2.8,No,Completed,REG-2025-ABC-345,
D304,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard",83,20,5.9,OP004,2025-08-05,95,1.1,2.3,No,Completed,REG-2025-DEF-678,
D305,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.9,"Liquid Tank",Insecticide,27,35,9.8,OP003,2025-08-06,44,3.5,7.7,Yes,Completed,REG-2025-GHI-901,
D306,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Pressure",108,41,12.5,OP002,2025-08-07,67,2.3,5.4,Yes,Completed,REG-2025-JKL-234,
D307,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.7,Package,"Consumer goods",68,22,7.1,OP015,2025-08-08,88,1.7,3.5,No,Completed,REG-2025-MNO-567,
D308,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Zoom lens",81,19,5.2,OP007,2025-08-09,96,1.2,2.1,No,Completed,REG-2025-OPQ-890,
D309,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.3,"Liquid Tank",Herbicide,30,32,10.8,OP003,2025-08-10,42,3.3,7.6,Yes,Completed,REG-2025-RST-123,
D310,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.6,Camera,"High-res",105,39,13.8,OP002,2025-08-11,65,2.4,5.2,Yes,Completed,REG-2025-UVW-456,
D311,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Small package",72,16,6.2,OP011,2025-08-12,91,1.4,2.9,No,Completed,REG-2025-XYZ-789,
D312,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.9,Camera,"Wide angle",86,20,5.5,OP004,2025-08-13,94,1.1,2.3,No,Completed,REG-2025-ABC-012,
D313,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Fungicide,33,34,10.1,OP003,2025-08-14,47,3.1,7.1,Yes,Completed,REG-2025-DEF-345,
D314,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Vibration",109,40,12.5,OP002,2025-08-15,68,2.2,5.5,Yes,Completed,REG-2025-GHI-678,
D315,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Fragile goods",70,25,7.9,OP015,2025-08-16,83,1.8,3.4,No,Completed,REG-2025-JKL-901,
D316,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",84,17,5.3,OP007,2025-08-17,97,1.3,2.2,No,Completed,REG-2025-MNO-234,
D317,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Insecticide,29,32,9.2,OP003,2025-08-18,40,3.4,7.8,Yes,Completed,REG-2025-OPQ-567,
D318,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.4,Camera,"Zoom",106,42,13.9,OP002,2025-08-19,62,2.5,5.7,Yes,Completed,REG-2025-RST-890,
D319,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Gift",71,19,6.5,OP011,2025-08-20,92,1.5,2.9,No,Completed,REG-2025-UVW-123,
D320,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard lens",85,20,5.7,OP004,2025-08-21,94,1.1,2.1,No,Completed,REG-2025-XYZ-456,
D321,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Herbicide,32,33,10.5,OP003,2025-08-22,45,3.3,7.3,Yes,Completed,REG-2025-ABC-789,
D322,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",108,38,12.2,OP002,2025-08-23,69,2.1,5.4,Yes,Completed,REG-2025-DEF-901,
D323,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Electronics",67,23,7.2,OP015,2025-08-24,84,1.8,3.2,No,Completed,REG-2025-GHI-234,
D324,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Wide lens",89,18,5.9,OP007,2025-08-25,97,1.2,2.4,No,Completed,REG-2025-JKL-567,
D325,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Fungicide,31,35,9.8,OP003,2025-08-26,40,3.5,7.9,Yes,Completed,REG-2025-MNO-890,
D326,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",102,41,13.5,OP002,2025-08-27,63,2.3,5.1,Yes,Completed,REG-2025-OPQ-123,
D327,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Clothing",72,19,6.1,OP011,2025-08-28,90,1.5,2.8,No,Completed,REG-2025-RST-456,
D328,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Zoom",84,20,5.7,OP004,2025-08-29,93,1.3,2.5,No,Completed,REG-2025-UVW-789,
D329,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.9,"Liquid Tank",Insecticide,28,33,9.5,OP003,2025-08-30,42,3.2,7.6,Yes,Completed,REG-2025-XYZ-012,
D330,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Temperature",108,39,12.1,OP002,2025-08-31,69,2.4,5.3,Yes,Completed,REG-2025-ABC-345,
D331,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Documents",69,24,7.8,OP015,2025-09-01,85,1.9,3.4,No,Completed,REG-2025-DEF-678,
D332,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"ND filter",81,17,5.5,OP007,2025-09-02,97,1.1,2.2,No,Completed,REG-2025-GHI-901,
D333,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Herbicide,33,34,10.5,OP003,2025-09-03,40,3.4,7.8,Yes,Completed,REG-2025-JKL-234,
D334,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.2,Camera,"Visual",105,40,13.2,OP002,2025-09-04,64,2.3,5.5,Yes,Completed,REG-2025-MNO-567,
D335,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Electronics",70,18,6.1,OP011,2025-09-05,93,1.5,2.9,No,Completed,REG-2025-OPQ-890,
D336,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",87,19,5.7,OP004,2025-09-06,95,1.2,2.3,No,Completed,REG-2025-RST-123,
D245,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Pesticide,31,35,11.2,OP003,2025-06-07,41,3.5,7.9,Yes,Completed,REG-2025-MNO-901,
D246,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Thermal",102,41,13.5,OP002,2025-06-08,67,2.1,5.3,Yes,Completed,REG-2025-PQR-234,
D247,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Clothing",72,19,6.3,OP011,2025-06-09,91,1.4,2.8,No,Completed,REG-2025-STU-567,
D248,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.9,OP004,2025-06-10,94,1.3,2.5,No,Completed,REG-2025-VWX-890,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D337,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Fungicide,26,32,9.5,OP003,2025-09-07,42,3.2,7.7,Yes,Completed,REG-2025-UVW-456,
D338,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Temperature",109,42,12.8,OP002,2025-09-08,70,2.4,5.2,Yes,Completed,REG-2025-XYZ-789,
D339,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.8,Package,"Small items",69,25,7.5,OP015,2025-09-09,88,1.9,3.3,No,Completed,REG-2025-ABC-012,
D340,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Telephoto",83,21,6.2,OP007,2025-09-10,96,1.3,2.4,No,Completed,REG-2025-DEF-345,
D341,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Insecticide,32,31,10.2,OP003,2025-09-11,45,3.1,7.4,Yes,Completed,REG-2025-GHI-678,
D342,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.2,Camera,"Infrared",106,38,13.1,OP002,2025-09-12,63,2.2,5.4,Yes,Completed,REG-2025-JKL-901,
D343,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Documents",71,17,5.9,OP011,2025-09-13,92,1.6,2.7,No,Completed,REG-2025-MNO-234,
D344,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard",86,20,5.8,OP004,2025-09-14,94,1.1,2.1,No,Completed,REG-2025-OPQ-567,
D345,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Herbicide,27,35,9.9,OP003,2025-09-15,44,3.5,7.8,Yes,Completed,REG-2025-RST-890,
D346,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Pressure",110,41,12.5,OP002,2025-09-16,68,2.3,5.1,Yes,Completed,REG-2025-UVW-123,
D347,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,"Consumer goods",67,22,7.3,OP015,2025-09-17,87,1.7,3.2,No,Completed,REG-2025-XYZ-456,
D348,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Zoom lens",84,19,5.2,OP007,2025-09-18,95,1.2,2.3,No,Completed,REG-2025-ABC-789,
D349,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Fungicide,30,32,10.8,OP003,2025-09-19,42,3.3,7.5,Yes,Completed,REG-2025-DEF-901,
D350,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"High-res",103,39,13.8,OP002,2025-09-20,65,2.4,5.6,Yes,Completed,REG-2025-GHI-234,
D351,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Small package",73,16,6.5,OP011,2025-09-21,90,1.4,2.9,No,Completed,REG-2025-JKL-567,
D352,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Wide angle",89,20,5.8,OP004,2025-09-22,93,1.1,2.1,No,Completed,REG-2025-MNO-890,
D353,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank",Insecticide,34,34,10.1,OP003,2025-09-23,47,3.1,7.2,Yes,Completed,REG-2025-OPQ-123,
D354,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Vibration",107,40,12.5,OP002,2025-09-24,68,2.2,5.3,Yes,Completed,REG-2025-RST-456,
D355,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Fragile goods",71,25,7.2,OP015,2025-09-25,86,1.8,3.5,No,Completed,REG-2025-UVW-789,
D356,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Telephoto",81,17,5.3,OP007,2025-09-26,98,1.3,2.4,No,Completed,REG-2025-XYZ-012,
D357,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Herbicide,26,32,9.2,OP003,2025-09-27,41,3.4,7.7,Yes,Completed,REG-2025-ABC-345,
D358,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.3,Camera,"Zoom",104,42,13.9,OP002,2025-09-28,62,2.5,5.7,Yes,Completed,REG-2025-DEF-678,
D359,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Gift",70,19,6.1,OP011,2025-09-29,94,1.5,2.8,No,Completed,REG-2025-GHI-901,
D360,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",87,20,5.7,OP004,2025-09-30,95,1.1,2.2,No,Completed,REG-2025-JKL-234,
D361,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.6,"Liquid Tank",Fungicide,33,33,10.5,OP003,2025-10-01,46,3.3,7.3,Yes,Completed,REG-2025-MNO-567,
D362,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.9,Sensor,"Acoustic",109,38,12.2,OP002,2025-10-02,69,2.1,5.4,Yes,Completed,REG-2025-OPQ-890,
D363,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Electronics",66,23,7.5,OP015,2025-10-03,89,1.7,3.1,No,Completed,REG-2025-RST-123,
D364,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide lens",82,18,5.9,OP007,2025-10-04,97,1.2,2.5,No,Completed,REG-2025-UVW-456,
D365,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Insecticide,28,35,9.8,OP003,2025-10-05,43,3.5,7.6,Yes,Completed,REG-2025-XYZ-789,
D366,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.5,Camera,"Thermal",103,41,13.1,OP002,2025-10-06,64,2.4,5.2,Yes,Completed,REG-2025-ABC-012,
D367,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Clothing",73,19,6.1,OP011,2025-10-07,92,1.4,2.7,No,Completed,REG-2025-DEF-345,
D368,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.5,OP004,2025-10-08,96,1.3,2.3,No,Completed,REG-2025-GHI-678,
D369,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.1,"Liquid Tank",Herbicide,31,33,9.5,OP003,2025-10-09,40,3.3,7.9,Yes,Completed,REG-2025-JKL-901,
D370,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.7,Sensor,"Gas",106,39,12.8,OP002,2025-10-10,67,2.2,5.5,Yes,Completed,REG-2025-MNO-234,
D371,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.2,Package,"Documents",69,24,7.9,OP015,2025-10-11,87,1.8,3.4,No,Completed,REG-2025-OPQ-567,
D372,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"ND filter",88,17,5.2,OP007,2025-10-12,99,1.1,2.1,No,Completed,REG-2025-RST-890,
D373,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Fungicide,34,34,10.2,OP003,2025-10-13,45,3.4,7.7,Yes,Completed,REG-2025-UVW-123,
D374,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Visual",104,40,13.5,OP002,2025-10-14,63,2.3,5.1,Yes,Completed,REG-2025-XYZ-456,
D375,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.5,Package,"Electronics",71,18,6.3,OP011,2025-10-15,90,1.5,2.8,No,Completed,REG-2025-ABC-789,
D376,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Wide angle",83,19,5.6,OP004,2025-10-16,93,1.2,2.4,No,Completed,REG-2025-DEF-901,
D377,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Insecticide,29,32,9.9,OP003,2025-10-17,44,3.2,7.5,Yes,Completed,REG-2025-GHI-234,
D378,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.6,Sensor,"Temperature",107,42,12.8,OP002,2025-10-18,66,2.4,5.3,Yes,Completed,REG-2025-JKL-567,
D379,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.4,Package,"Small items",72,25,7.1,OP015,2025-10-19,86,1.9,3.2,No,Completed,REG-2025-MNO-890,
D380,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Telephoto",89,21,6.5,OP007,2025-10-20,97,1.3,2.5,No,Completed,REG-2025-OPQ-123,
D381,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.2,"Liquid Tank",Herbicide,32,31,10.5,OP003,2025-10-21,41,3.1,7.4,Yes,Completed,REG-2025-RST-456,
D382,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Infrared",104,38,13.2,OP002,2025-10-22,69,2.2,5.1,Yes,Completed,REG-2025-UVW-789,
D383,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Documents",70,17,5.8,OP011,2025-10-23,93,1.6,2.8,No,Completed,REG-2025-XYZ-012,
D384,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard",83,20,5.9,OP004,2025-10-24,95,1.1,2.3,No,Completed,REG-2025-ABC-345,
D385,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.9,"Liquid Tank",Fungicide,27,35,9.8,OP003,2025-10-25,44,3.5,7.7,Yes,Completed,REG-2025-DEF-678,
D386,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Pressure",108,41,12.5,OP002,2025-10-26,67,2.3,5.4,Yes,Completed,REG-2025-GHI-901,
